x_mm,efield_bottom,efield_top
-109.955742875643,-0.0537595003160645,-0.094854270971166
-108.734012399247,-0.0553406638037442,-0.097758066577225
-107.512281922851,-0.0565265338458955,-0.0983389663980373
-106.290551446455,-0.0608747318273925,-0.10627612549067
-105.068820970059,-0.0571194707647774,-0.105695815742747
-103.847090493663,-0.0606771711290017,-0.106858589509331
-102.625360017267,-0.0618629682195404,-0.105504130503268
-101.403629540871,-0.0632464755515226,-0.109763048007179
-100.181899064475,-0.0646299933755042,-0.118668815637846
-98.9601685880785,-0.0658158588503055,-0.124476807225915
-97.7384381116825,-0.0675947006885815,-0.120800764095641
-96.5167076352864,-0.0695711282842106,-0.11789910910529
-95.2949771588904,-0.070559356143864,-0.127190408084669
-94.0732466824944,-0.0745123016797546,-0.126423704751966
-92.8515162060983,-0.0800465433032274,-0.129709654113168
-91.6297857297023,-0.0798487351437581,-0.141725544609611
-90.4080552533063,-0.0834065683266061,-0.136690589431866
-89.1863247769102,-0.0875580535878923,-0.144821351811701
-87.9645943005142,-0.090126303923133,-0.135930240431014
-86.7428638241182,-0.0897312998651124,-0.143871810323219
-85.5211333477221,-0.0895342042072829,-0.152002466266406
-84.2994028713261,-0.0958592148078187,-0.149494358117588
-83.0776723949301,-0.0915098575255672,-0.160527494900344
-81.8559419185341,-0.0974421546316493,-0.152424462884804
-80.634211442138,-0.103567219457483,-0.158230299225927
-79.412480965742,-0.10080127803342,-0.164629028933421
-78.190750489346,-0.108909272255032,-0.174320497094978
-76.9690200129499,-0.114049235256817,-0.17006839736204
-75.7472895365539,-0.120172629458713,-0.1784073486189
-74.5255590601579,-0.118009759099787,-0.171096077976477
-73.3038285837618,-0.123549172826762,-0.178270497820359
-72.0820981073658,-0.125127686891135,-0.19295860184745
-70.8603676309698,-0.135604200077387,-0.180083418340596
-69.6386371545737,-0.131649322415996,-0.186675363722712
-68.4169066781777,-0.143110547786007,-0.186882608055407
-67.1951762017817,-0.139162600628895,-0.184970154417434
-65.9734457253857,-0.150823036687498,-0.192734941733174
-64.7517152489896,-0.161112867524262,-0.19477648949003
-63.5299847725936,-0.162700289860686,-0.212568485173616
-62.3082542961976,-0.157178354932729,-0.207974014739883
-61.0865238198015,-0.169641264128606,-0.204055931722006
-59.8647933434055,-0.1747915452424,-0.201196565962066
-58.6430628670095,-0.170638001239015,-0.218967490399546
-57.4213323906134,-0.174612531763084,-0.216587367405232
-56.1996019142174,-0.188466399370242,-0.216252389547024
