0.0000	-0.0022	0.0700	-12.8756	0.1303	0.0041
-0.0025	-0.0112	0.0691	-10.5388	-0.6728	-0.4850
-0.0063	-0.0204	0.0667	-5.1034	-2.0491	-1.1059
-0.0067	-0.0145	0.0681	-8.1890	-1.6964	-1.1687
-0.0039	-0.0062	0.0696	-12.4762	-0.5771	-0.7570
-0.0095	-0.0095	0.0687	-10.5791	-1.1479	-1.6156
-0.0170	-0.0145	0.0663	-7.7683	-2.7679	-2.6021
-0.0231	-0.0166	0.0639	-5.7326	-3.0055	-2.8549
-0.0286	-0.0171	0.0616	-4.7772	-2.9173	-3.0290
-0.0335	-0.0165	0.0592	-4.1462	-2.5349	-3.0558
-0.0280	-0.0120	0.0630	-6.2915	-2.1598	-3.2035
-0.0220	-0.0117	0.0654	-7.7297	-2.3504	-3.0196
-0.0147	-0.0094	0.0678	-9.9727	-1.4406	-2.3580
-0.0092	-0.0043	0.0693	-12.7533	-0.2267	-1.7009
-0.0194	-0.0072	0.0669	-10.2493	-1.2888	-3.1064
-0.0262	-0.0073	0.0645	-7.8164	-1.2578	-3.3149
-0.0317	-0.0061	0.0621	-6.7413	-0.9309	-3.5286
-0.0292	-0.0016	0.0636	-7.5180	0.1854	-3.4478
-0.0187	-0.0001	0.0674	-10.7024	0.9150	-2.9727
-0.0232	-0.0032	0.0660	-9.0855	-0.1600	-3.1982
-0.0147	-0.0033	0.0684	-11.5524	0.2092	-2.4780
-0.0049	-0.0004	0.0698	-13.7807	1.3565	-0.9636
0.0077	0.0021	0.0695	-14.0468	0.8225	1.5306
0.0150	0.0063	0.0681	-11.2938	-0.7657	2.5662
0.0186	0.0109	0.0666	-9.3365	-2.1012	2.9484
0.0097	0.0068	0.0690	-12.3029	-0.5512	1.7876
0.0026	0.0028	0.0699	-14.3896	0.6299	0.5077
0.0084	0.0121	0.0684	-10.1420	-1.0043	1.4282
0.0143	0.0229	0.0646	-4.1539	-2.7833	1.9076
0.0093	0.0182	0.0670	-6.6902	-1.8189	1.4251
0.0037	0.0089	0.0693	-12.0744	0.0223	0.6364
0.0044	0.0166	0.0679	-8.1107	-0.2927	0.5944
0.0083	0.0233	0.0655	-4.2438	-1.4955	1.0674
0.0124	0.0276	0.0631	-1.9656	-2.3654	1.4226
0.0169	0.0305	0.0607	-0.9820	-3.0327	1.7940
0.0135	0.0347	0.0593	0.4885	-2.3206	1.2482
0.0095	0.0318	0.0616	-0.2945	-1.5435	0.8418
0.0058	0.0277	0.0640	-1.8529	-0.8610	0.5411
0.0027	0.0220	0.0664	-4.6818	-0.0135	0.1978
0.0005	0.0130	0.0688	-10.2879	0.5322	-0.0201
-0.0012	0.0065	0.0697	-12.7340	0.7386	-0.2798
-0.0048	0.0150	0.0682	-8.1724	2.0375	-1.0193
-0.0055	0.0095	0.0691	-10.8557	1.6776	-1.1008
-0.0110	0.0142	0.0677	-8.0692	2.8797	-1.9173
-0.0138	0.0212	0.0653	-4.6571	3.6819	-2.1782
-0.0090	0.0191	0.0667	-5.8981	2.7194	-1.5761
-0.0097	0.0258	0.0644	-2.5683	3.0952	-1.6251
-0.0089	0.0313	0.0620	-0.4161	2.6759	-1.4104
-0.0126	0.0369	0.0581	1.0892	2.8096	-1.5484
-0.0103	0.0410	0.0558	1.9458	2.2295	-1.2815
-0.0071	0.0360	0.0596	1.1861	2.1106	-1.1345
-0.0045	0.0401	0.0572	2.0680	1.3484	-0.7812
-0.0013	0.0435	0.0548	2.6383	0.6101	-0.4224
0.0008	0.0381	0.0587	1.8170	0.3513	-0.2540
-0.0021	0.0341	0.0611	0.6243	1.0202	-0.5490
-0.0042	0.0292	0.0635	-1.0903	1.6289	-0.8233
-0.0053	0.0232	0.0658	-3.8142	2.1161	-1.0547
-0.0018	0.0192	0.0673	-6.4128	1.1598	-0.4994
-0.0003	0.0262	0.0649	-2.4937	0.7991	-0.3319
0.0023	0.0313	0.0625	-0.3323	0.0591	-0.0174
0.0055	0.0353	0.0602	0.9499	-0.6582	0.2992
0.0093	0.0384	0.0578	1.5998	-1.3359	0.6295
0.0135	0.0406	0.0554	1.7669	-1.8348	0.9138
0.0179	0.0420	0.0530	1.7557	-2.3102	1.2371
0.0179	0.0367	0.0569	0.9026	-2.6893	1.4492
0.0225	0.0377	0.0545	0.8231	-2.9010	1.6700
0.0271	0.0380	0.0521	0.4905	-3.1139	2.0169
0.0261	0.0329	0.0560	-0.2756	-3.3497	2.0998
0.0215	0.0322	0.0583	-0.5399	-3.3286	2.0341
0.0192	0.0258	0.0622	-2.6178	-3.1896	2.1282
0.0240	0.0273	0.0598	-2.0746	-3.7451	2.5425
0.0255	0.0222	0.0613	-3.8898	-3.7036	2.9618
0.0203	0.0208	0.0637	-4.7152	-3.2469	2.5669
0.0148	0.0179	0.0660	-6.5450	-2.4151	2.1179
0.0136	0.0126	0.0675	-9.8266	-1.8451	2.3177
0.0202	0.0158	0.0651	-6.7876	-2.8871	2.8051
0.0259	0.0170	0.0628	-5.3995	-3.0555	3.0595
0.0305	0.0224	0.0589	-3.2043	-3.4518	2.9691
